"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-23",,,,,,,"80","52",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-24",,,,,,,"87","56",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-25",,,,,,,"84","65",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-26",,,,,,,"90","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-27",,,,,,,"87","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-28",,,,,,,"89","67",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-29",,,,,,,"84","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-30",,,,,,,"87","68",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-08-31",,,,,,,"90","66",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-01",,,,,,,"89","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-02",,,,,,,"90","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-03",,,,,,,"73","56",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-04",,,,,,,"72","50",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-05",,,,,,,"79","47",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-06",,,,,,,"86","51",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-07",,,,,,,"88","66",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-08",,,,,,,"83","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-09",,,,,,,"80","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-10",,,,,,,"76","54",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-11",,,,,,,"75","47",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-12",,,,,,,"80","47",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-13",,,,,,,"78","56",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-14",,,,,,,"86","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-15",,,,,,,"87","65",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-16",,,,,,,"94","66",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-17",,,,,,,"82","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-18",,,,,,,"86","58",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-19",,,,,,,"92","70",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-20",,,,,,,"78","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-21",,,,,,,"72","53",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-22",,,,,,,"74","53",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-23",,,,,,,"64","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-24",,,,,,,"74","54",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-25",,,,,,,"79","45",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-26",,,,,,,"80","49",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-27",,,,,,,"80","52",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-28",,,,,,,"74","50",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-09-29",,,,,,,"85","46",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-01",,,,,,,"76","46",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-02",,,,,,,"84","48",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-03",,,,,,,"89","55",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-04",,,,,,,"89","57",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-05",,,,,,,"86","55",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-06",,,,,,,"87","54",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-07",,,,,,,"88","57",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-08",,,,,,,"81","68",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-09",,,,,,,"73","54",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-10",,,,,,,"75","55",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-11",,,,,,,"85","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-12",,,,,,,"80","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-13",,,,,,,"70","41",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-14",,,,,,,"61","36",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-15",,,,,,,"64","34",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-16",,,,,,,"62","40",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-17",,,,,,,"60","36",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-18",,,,,,,"60","30",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-19",,,,,,,"71","35",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-20",,,,,,,"61","44",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-21",,,,,,,"58","37",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-22",,,,,,,"51","32",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-23",,,,,,,"60","40",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-24",,,,,,,"54","47",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-25",,,,,,,"56","49",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-26",,,,,,,"51","38",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-27",,,,,,,"46","29",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-28",,,,,,,"60","27",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-29",,,,,,,"63","33",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-30",,,,,,,"67","37",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-10-31",,,,,,,"71","50",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-01",,,,,,,"59","39",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-02",,,,,,,"52","36",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-03",,,,,,,"37","33",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-04",,,,,,,"42","34",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-05",,,,,,,"49","32",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-06",,,,,,,"48","44",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-07",,,,,,,"49","41",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-08",,,,,,,"49","37",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-09",,,,,,,"47","36",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-10",,,,,,,"43","33",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-11",,,,,,,"40","30",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-12",,,,,,,"38","29",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-13",,,,,,,"37","30",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-14",,,,,,,"37","29",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-15",,,,,,,"35","29",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-16",,,,,,,"29","17",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-17",,,,,,,"42","14",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-11-18",,,,,,,"50","23",,,,,,,,,
